Player,Tm,Salary,Cap Hit,Team,Position,GP,TOI,CF,CA,CFpct,FF,FA,FFpct,SF,SA,SFpct,GF,GA,GFpct,xGF,xGA,xGFpct,SCF,SCA,SCFpct,HDCF,HDCA,HDCFpct,HDGF,HDGA,HDGFpct,MDCF,MDCA,MDCFpct,MDGF,MDGA,MDGFpct,LDCF,LDCA,LDCFpct,LDGF,LDGA,LDGFpct,On-Ice SH%,oiSVpct,PDO,ozstarts,nzstarts,dzstarts,ofstarts,ozstartpct,ozfaceoff,nzfaceoff,dzonefaceoff,ozfopct
CharlieMcAvoy,BOS,7300000,4900000,BOS,D,8,140.6833333,132,105,55.7,105,67,61.05,81,48,62.79,4,4,50,5.62,2.96,65.53,68,54,55.74,20,14,58.82,2,2,50,48,40,54.55,2,1,66.67,58,47,55.24,0,1,0,4.94,91.67,0.966,23,26,14,114,62.16,53,42,40,56.99
NicoHischier,NJD,7250000,7250000,N.J,C,8,107.9,117,87,57.35,89,66,57.42,65,45,59.09,4,3,57.14,5.5,3.74,59.5,65,47,58.04,30,14,68.18,1,1,50,35,33,51.47,1,1,50,46,38,54.76,2,1,66.67,6.15,93.33,0.995,18,38,20,76,47.37,28,47,33,45.9
WilliamKarlsson,VEG,7100000,5900000,VGK,C,8,110.2,125,119,51.23,85,84,50.3,62,59,51.24,5,8,38.46,4.45,5.86,43.2,52,69,42.98,16,29,35.56,3,6,33.33,36,40,47.37,0,1,0,69,42,62.16,2,1,66.67,8.06,86.44,0.945,24,26,23,83,51.06,40,34,38,51.28
ClaytonKeller,ARI,7000000,7150000,ARI,R,10,140.6166667,123,126,49.4,100,92,52.08,68,73,48.23,4,6,40,5.44,4.86,52.79,63,55,53.39,24,24,50,2,2,50,39,31,55.71,1,2,33.33,55,59,48.25,1,2,33.33,5.88,91.78,0.977,28,39,18,108,60.87,42,46,40,51.22
NickLeddy,DET,7000000,5500000,DET,D,11,195.0666667,170,204,45.45,137,165,45.36,106,116,47.75,6,5,54.55,8.46,9.7,46.58,87,107,44.85,30,58,34.09,4,5,44.44,57,49,53.77,2,0,100,75,78,49.02,0,0,-,5.66,95.69,1.014,17,40,19,144,47.22,49,69,47,51.04
ThomasChabot,OTT,7000000,8000000,OTT,D,10,220.1,237,207,53.38,181,142,56.04,131,107,55.04,10,6,62.5,10.2,7.43,57.85,125,108,53.65,51,36,58.62,3,2,60,74,72,50.68,3,2,60,99,84,54.1,4,2,66.67,7.63,94.39,1.02,36,43,18,121,66.67,92,70,52,63.89
MathewBarzal,NYI,7000000,7000000,NYI,C,8,111.9666667,116,139,45.49,87,101,46.28,59,74,44.36,5,3,62.5,5.19,6.14,45.82,53,73,42.06,22,32,40.74,3,3,50,31,41,43.06,1,0,100,56,60,48.28,1,0,100,8.47,95.95,1.044,20,17,4,90,83.33,32,24,23,58.18
JakeGuentzel,PIT,7000000,6000000,PIT,L,8,107.75,116,98,54.21,87,70,55.41,64,57,52.89,5,4,55.56,4.94,3.98,55.37,59,57,50.86,23,19,54.76,2,2,50,36,38,48.65,3,1,75,55,34,61.8,0,1,0,7.81,92.98,1.008,32,31,9,72,78.05,46,38,31,59.74
NathanMacKinnon,COL,6850000,6300000,COL,C,7,110.3833333,97,102,48.74,65,74,46.76,46,60,43.4,6,8,42.86,3.59,3.17,53.1,50,41,54.95,13,12,52,2,3,40,37,29,56.06,3,3,50,42,50,45.65,1,2,33.33,13.04,86.67,0.997,35,33,13,66,72.92,55,49,31,63.95
DavidPastrnak,BOS,6800000,6666667,BOS,R,8,118.6666667,126,89,58.6,94,65,59.12,71,53,57.26,5,4,55.56,4.37,2.77,61.2,55,40,57.89,16,13,55.17,1,2,33.33,39,27,59.09,3,2,60,65,45,59.09,1,0,100,7.04,92.45,0.995,24,25,11,78,68.57,53,39,28,65.43
DylanLarkin,DET,6750000,6100000,DET,C,8,105.8833333,111,86,56.35,88,68,56.41,76,50,60.32,7,3,70,5.83,3.53,62.29,61,46,57.01,21,21,50,4,1,80,40,25,61.54,3,1,75,44,35,55.7,0,1,0,9.21,94,1.032,16,29,7,67,69.57,28,36,21,57.14
JohnnyGaudreau,CGY,6750000,6750000,CGY,L,10,143.55,163,124,56.79,126,97,56.5,79,73,51.97,7,0,100,6.45,4.81,57.26,81,55,59.56,26,18,59.09,0,0,-,55,37,59.78,5,0,100,74,60,55.22,2,0,100,8.86,100,1.089,27,31,25,92,51.92,50,37,55,47.62
HampusLindholm,ANA,6750000,5205556,ANA,D,11,198.4333333,197,179,52.39,145,137,51.42,100,103,49.26,6,11,35.29,8.7,8.54,50.46,95,87,52.2,38,39,49.35,4,4,50,57,48,54.29,2,3,40,90,80,52.94,0,4,0,6,89.32,0.953,17,34,23,160,42.5,58,59,58,50
MarkScheifele,WPG,6750000,6125000,WPG,C,3,45.98333333,45,47,48.91,26,36,41.94,18,30,37.5,3,3,50,1.26,2.38,34.57,18,25,41.86,4,12,25,0,3,0,14,13,51.85,2,0,100,26,20,56.52,1,0,100,16.67,90,1.067,6,10,9,33,40,13,17,15,46.43
Pierre-LucDubois,WPG,6650000,5000000,WPG,L,9,137.8166667,149,139,51.74,115,98,53.99,82,76,51.9,9,6,60,6.39,5.53,53.63,71,73,49.31,31,29,51.67,6,3,66.67,40,44,47.62,3,1,75,69,55,55.65,0,2,0,10.98,92.11,1.031,22,23,13,113,62.86,41,35,35,53.95
NikolajEhlers,WPG,6500000,6000000,WPG,L,9,138.6833333,146,123,54.28,108,93,53.73,77,71,52.03,7,5,58.33,6,5.45,52.42,79,64,55.24,22,27,44.9,5,4,55.56,57,37,60.64,1,1,50,57,50,53.27,1,0,100,9.09,92.96,1.02,24,36,15,107,61.54,44,48,28,61.11
Jean-GabrielPageau,NYI,6500000,5000000,NYI,C,7,84.13333333,78,84,48.15,60,51,54.05,45,35,56.25,4,3,57.14,2.93,1.98,59.66,30,34,46.88,12,10,54.55,2,1,66.67,18,24,42.86,2,2,50,41,46,47.13,0,0,-,8.89,91.43,1.003,12,22,23,66,34.29,22,25,40,35.48
VincentTrocheck,CAR,6250000,4750000,CAR,C,9,103.8166667,111,88,55.78,88,74,54.32,57,53,51.82,8,3,72.73,4.44,3.93,53.07,50,46,52.08,18,20,47.37,2,2,50,32,26,55.17,2,1,66.67,49,38,56.32,4,0,100,14.04,94.34,1.084,21,28,15,74,58.33,36,38,28,56.25
JasonZucker,PIT,6250000,5500000,PIT,L,9,118.5666667,118,100,54.13,93,72,56.36,75,58,56.39,4,6,40,5.92,3.62,62.07,62,50,55.36,33,14,70.21,2,2,50,29,36,44.62,2,4,33.33,52,46,53.06,0,0,-,5.33,89.66,0.95,20,10,9,102,68.97,34,20,23,59.65
CamFowler,ANA,6250000,6500000,ANA,D,11,177.4833333,167,167,50,129,122,51.39,96,87,52.46,8,6,57.14,7.22,8.01,47.4,79,81,49.38,35,35,50,3,4,42.86,44,46,48.89,3,0,100,81,78,50.94,2,2,50,8.33,93.1,1.014,17,37,29,134,36.96,35,58,53,39.77
SeanMonahan,CGY,6125000,6375000,CGY,C,10,113.9666667,106,107,49.77,79,88,47.31,67,58,53.6,2,5,28.57,4.17,4.47,48.27,48,47,50.53,16,18,47.06,1,3,25,32,29,52.46,1,1,50,45,53,45.92,0,1,0,2.99,91.38,0.944,23,17,21,97,52.27,36,22,40,47.37
JesperiKotkaniemi,CAR,6100015,6100035,CAR,C,9,100.4166667,107,86,55.44,73,63,53.68,57,48,54.29,5,3,62.5,3.31,3.86,46.16,38,40,48.72,15,18,45.45,3,3,50,23,22,51.11,0,0,-,54,36,60,2,0,100,8.77,93.75,1.025,17,24,11,79,60.71,34,32,21,61.82
J.T.Miller,VAN,6000000,5250000,VAN,C,10,139.0166667,121,119,50.42,83,92,47.43,56,75,42.75,4,5,44.44,4.53,6.22,42.14,52,66,44.07,23,31,42.59,2,3,40,29,35,45.31,1,1,50,62,48,56.36,1,1,50,7.14,93.33,1.005,36,28,13,118,73.47,56,38,30,65.12
JaccobSlavin,CAR,6000000,5300000,CAR,D,9,157.4333333,167,140,54.4,131,106,55.27,91,77,54.17,10,4,71.43,7.86,6.21,55.86,87,62,58.39,40,28,58.82,8,3,72.73,47,34,58.02,2,1,66.67,66,59,52.8,0,0,-,10.99,94.81,1.058,9,39,12,119,42.86,42,60,38,52.5
CharlieCoyle,BOS,6000000,5250000,BOS,C,8,99.48333333,116,104,52.73,94,75,55.62,75,54,58.14,4,6,40,5.38,3.56,60.2,55,47,53.92,25,18,58.14,2,3,40,30,29,50.85,0,3,0,56,52,51.85,2,0,100,5.33,88.89,0.942,12,14,11,82,52.17,33,21,27,55
AaronEkblad,FLA,6000000,7500000,FLA,D,10,170.7166667,149,127,53.99,111,92,54.68,85,71,54.49,13,6,68.42,6.12,6.28,49.38,80,68,54.05,26,28,48.15,9,5,64.29,54,40,57.45,3,1,75,62,52,54.39,1,0,100,15.29,91.55,1.068,35,45,39,108,47.3,60,63,62,49.18
LoganCouture,SJS,6000000,8000000,S.J,C,8,103.3333333,111,98,53.11,82,69,54.3,64,47,57.66,9,2,81.82,5.07,3.14,61.71,60,46,56.6,32,13,71.11,7,0,100,28,33,45.9,0,1,0,44,45,49.44,2,1,66.67,14.06,95.74,1.098,15,39,17,86,46.88,30,45,35,46.15
NateSchmidt,WPG,6000000,5950000,WPG,D,9,160.55,134,144,48.2,99,110,47.37,72,81,47.06,8,4,66.67,5.87,6.35,48.02,67,75,47.18,28,35,44.44,4,3,57.14,39,40,49.37,2,0,100,62,62,50,2,1,66.67,11.11,95.06,1.062,26,37,15,109,63.41,51,57,33,60.71
FilipForsberg,NSH,6000000,6000000,NSH,L,9,120.9833333,117,91,56.25,96,69,58.18,60,55,52.17,5,5,50,4.9,3.52,58.2,50,53,48.54,19,16,54.29,4,3,57.14,31,37,45.59,1,2,33.33,61,36,62.89,0,0,-,8.33,90.91,0.992,36,30,12,83,75,64,49,34,65.31
GabrielLandeskog,COL,6000000,7000000,COL,L,7,114.5833333,111,102,52.11,71,71,50,52,55,48.6,11,4,73.33,4.06,2.8,59.18,61,35,63.54,16,10,61.54,5,2,71.43,45,25,64.29,3,1,75,44,54,44.9,3,1,75,21.15,92.73,1.139,35,34,15,62,70,56,47,36,60.87
JohnKlingberg,DAL,6000000,4250000,DAL,D,6,100.7666667,104,99,51.23,86,68,55.84,60,50,54.55,1,4,20,5.1,3.87,56.85,61,48,55.96,24,21,53.33,1,3,25,37,27,57.81,0,1,0,39,40,49.37,0,0,-,1.67,92,0.937,18,21,10,65,64.29,38,27,29,56.72
JamesvanRiemsdyk,PHI,6000000,7000000,PHI,L,9,113.2333333,107,105,50.47,82,69,54.3,65,47,58.04,4,1,80,5.56,3.66,60.31,54,50,51.92,24,15,61.54,2,1,66.67,30,35,46.15,2,0,100,44,45,49.44,0,0,-,6.15,97.87,1.04,18,25,16,94,52.94,24,37,28,46.15
ErikJohnson,COL,6000000,6000000,COL,D,9,141.2333333,144,137,51.25,97,102,48.74,83,76,52.2,7,3,70,5.5,5.18,51.5,78,61,56.12,28,23,54.9,3,2,60,50,38,56.82,1,1,50,56,60,48.28,3,0,100,8.43,96.05,1.045,15,30,31,124,32.61,46,41,53,46.46
JordanStaal,CAR,6000000,6000000,CAR,C,9,107.75,121,90,57.35,95,69,57.93,72,49,59.5,7,2,77.78,6.32,4.37,59.12,63,43,59.43,34,17,66.67,4,2,66.67,29,26,52.73,3,0,100,50,38,56.82,0,0,-,9.72,95.92,1.056,17,34,19,62,47.22,26,43,38,40.63
GustavNyquist,CBJ,6000000,5500000,CBJ,C,9,119.8,124,133,48.25,88,101,46.56,60,72,45.45,6,5,54.55,5.21,6.16,45.81,59,73,44.7,23,26,46.94,3,0,100,36,47,43.37,1,4,20,53,56,48.62,2,1,66.67,10,93.06,1.031,30,30,14,74,68.18,40,36,32,55.56
TeuvoTeravainen,CAR,5875000,5400000,CAR,L,9,101.7833333,109,97,52.91,81,76,51.59,61,57,51.69,3,5,37.5,4.95,5.32,48.21,48,52,48,23,25,47.92,3,5,37.5,25,27,48.08,0,0,-,46,38,54.76,0,0,-,4.92,91.23,0.961,15,17,16,84,48.39,36,22,26,58.06
EliasLindholm,CGY,5850000,4850000,CGY,C,10,137.8666667,149,110,57.53,115,85,57.5,73,63,53.68,7,1,87.5,5.73,4.02,58.78,73,47,60.83,25,16,60.98,1,0,100,48,31,60.76,4,1,80,66,52,55.93,2,0,100,9.59,98.41,1.08,29,30,27,91,51.79,53,36,56,48.62
AdamHenrique,ANA,5825000,5825000,ANA,C,11,147.4333333,157,143,52.33,111,110,50.23,87,75,53.7,8,6,57.14,7.6,7.52,50.24,88,82,51.76,44,31,58.67,5,5,50,44,51,46.32,3,0,100,56,55,50.45,0,1,0,9.2,92,1.012,32,37,24,111,57.14,43,43,40,51.81
BoHorvat,VAN,5775000,5500000,VAN,C,10,140.95,126,118,51.64,98,92,51.58,75,70,51.72,6,4,60,4.41,4.91,47.31,51,51,50,17,21,44.74,3,1,75,34,30,53.13,1,2,33.33,64,57,52.89,2,1,66.67,8,94.29,1.023,31,51,30,93,50.82,43,62,57,43
AdamPelech,NYI,5750000,5750000,NYI,D,8,134.7666667,125,131,48.83,103,85,54.79,75,59,55.97,8,1,88.89,5.17,4.14,55.57,53,59,47.32,25,23,52.08,4,1,80,28,36,43.75,2,0,100,67,65,50.76,2,0,100,10.67,98.31,1.09,7,25,27,102,20.59,36,38,55,39.56
ColtonParayko,STL,5625000,5500000,STL,D,8,166.1833333,133,178,42.77,102,135,43.04,76,96,44.19,9,6,60,5.55,6.9,44.6,76,81,48.41,25,30,45.45,5,3,62.5,51,51,50,3,3,50,53,83,38.97,1,0,100,11.84,93.75,1.056,20,36,25,132,44.44,35,54,73,32.41
DarnellNurse,EDM,5600000,5600000,EDM,D,9,180.3333333,182,158,53.53,137,126,52.09,99,93,51.56,7,8,46.67,8.31,6.61,55.67,88,84,51.16,36,30,54.55,3,2,60,52,54,49.06,3,1,75,82,63,56.55,1,4,20,7.07,91.4,0.985,22,29,20,105,52.38,62,51,50,55.36
ChristopherTanev,CGY,5500000,4500000,CGY,D,10,162.6166667,157,128,55.09,117,97,54.67,90,67,57.32,5,7,41.67,6.45,5.37,54.57,85,51,62.5,34,22,60.71,2,4,33.33,51,29,63.75,3,1,75,56,70,44.44,0,2,0,5.56,89.55,0.951,27,37,31,129,46.55,56,51,64,46.67
TylerJohnson,CHI,5500000,5000000,CHI,C,8,80.66666667,62,101,38.04,47,74,38.84,36,60,37.5,1,7,12.5,2.78,4.16,40.04,36,49,42.35,16,14,53.33,1,4,20,20,35,36.36,0,1,0,22,46,32.35,0,2,0,2.78,88.33,0.911,10,15,10,80,50,18,23,18,50
JonathanDrouin,MTL,5500000,5500000,MTL,L,11,140.8333333,120,124,49.18,83,99,45.6,61,76,44.53,6,8,42.86,4.93,5.21,48.59,66,66,50,23,24,48.94,2,4,33.33,43,42,50.59,3,3,50,39,48,44.83,1,1,50,9.84,89.47,0.993,21,35,20,111,51.22,41,56,39,51.25
NinoNiederreiter,CAR,5475000,5250000,CAR,R,7,86.7,86,85,50.29,71,63,52.99,51,44,53.68,6,2,75,4.62,4.41,51.2,46,44,51.11,22,19,53.66,3,2,60,24,25,48.98,3,0,100,33,33,50,0,0,-,11.76,95.45,1.072,12,20,14,65,46.15,19,27,30,38.78
AndreBurakovsky,COL,5400000,4900000,COL,L,8,105.6,112,100,52.83,79,81,49.38,55,61,47.41,4,7,36.36,4.41,3.74,54.11,61,44,58.1,18,16,52.94,1,3,25,43,28,60.56,3,3,50,44,44,50,0,1,0,7.27,88.52,0.958,24,26,17,75,58.54,42,34,28,60
CalvindeHaan,CHI,5400000,4550000,CHI,D,11,181.5333333,168,183,47.86,132,132,50,93,96,49.21,4,8,33.33,5.76,7.41,43.72,77,90,46.11,24,24,50,1,6,14.29,53,66,44.54,2,1,66.67,77,78,49.68,1,1,50,4.3,91.67,0.96,18,41,21,147,46.15,60,55,45,57.14
SethJones,CHI,5400000,5400000,CHI,D,11,194.6166667,173,196,46.88,131,146,47.29,92,111,45.32,5,13,27.78,6.4,9.11,41.28,82,104,44.09,29,31,48.33,2,9,18.18,53,73,42.06,2,2,50,79,81,49.38,1,2,33.33,5.43,88.29,0.937,28,42,26,140,51.85,62,57,55,52.99
RasmusRistolainen,PHI,5400000,5400000,PHI,D,7,116.1166667,103,133,43.64,78,106,42.39,60,79,43.17,3,5,37.5,4.8,6.78,41.44,44,74,37.29,23,32,41.82,1,5,16.67,21,42,33.33,2,0,100,51,51,50,0,0,-,5,93.67,0.987,14,32,17,105,45.16,27,39,41,39.71
MikaelBacklund,CGY,5350000,5350000,CGY,C,10,124.7166667,136,103,56.9,105,78,57.38,81,57,58.7,5,3,62.5,5.09,4.49,53.14,68,45,60.18,17,15,53.13,2,2,50,51,30,62.96,2,0,100,52,53,49.52,1,1,50,6.17,94.74,1.009,24,32,28,83,46.15,39,45,43,47.56
OndrejPalat,TBL,5300000,5300000,T.B,L,10,129.8,129,125,50.79,99,94,51.3,67,73,47.86,5,8,38.46,5.49,5.34,50.71,73,65,52.9,29,22,56.86,2,5,28.57,44,43,50.57,3,2,60,50,54,48.08,0,1,0,7.46,89.04,0.965,32,26,16,96,66.67,55,31,35,61.11
AnthonyMantha,WSH,5300000,5700000,WSH,R,10,109.0666667,99,86,53.51,72,63,53.33,55,43,56.12,8,6,57.14,4.35,3.61,54.69,54,44,55.1,25,22,53.19,6,3,66.67,29,22,56.86,1,0,100,36,36,50,1,3,25,14.55,86.05,1.006,19,19,15,82,55.88,22,27,25,46.81
PatricHornqvist,FLA,5300000,5300000,FLA,R,10,94.81666667,95,100,48.72,65,74,46.76,46,53,46.46,1,3,25,3.76,3.01,55.55,35,40,46.67,17,9,65.38,1,1,50,18,31,36.73,0,1,0,53,54,49.53,0,1,0,2.17,94.34,0.965,19,16,12,82,61.29,38,23,30,55.88
JakobChychrun,ARI,5300000,4600000,ARI,D,10,197.7333333,171,189,47.5,125,135,48.08,77,98,44,0,12,0,5.59,6.98,44.5,81,78,50.94,22,34,39.29,0,3,0,59,44,57.28,0,6,0,77,95,44.77,0,3,0,0,87.76,0.878,26,36,30,113,46.43,50,52,62,44.64
CamAtkinson,PHI,5275000,5875000,PHI,R,9,102.6833333,76,111,40.64,59,85,40.97,48,67,41.74,9,2,81.82,3.24,5.07,38.98,37,67,35.58,14,29,32.56,3,1,75,23,38,37.7,3,1,75,34,39,46.58,3,0,100,18.75,97.01,1.158,17,28,12,99,58.62,24,38,23,51.06
TravisKonecny,PHI,5250000,5500000,PHI,R,9,119.6833333,119,114,51.07,81,90,47.37,64,69,48.12,6,5,54.55,4.21,5.15,44.97,47,53,47,16,27,37.21,3,4,42.86,31,26,54.39,3,0,100,57,56,50.44,0,1,0,9.38,92.75,1.021,33,30,22,86,60,48,38,48,50
SheaTheodore,VEG,5200000,5200000,VGK,D,10,195.9333333,195,224,46.54,135,156,46.39,105,115,47.73,6,7,46.15,8.58,10.04,46.06,95,118,44.6,43,48,47.25,4,6,40,52,70,42.62,1,1,50,86,86,50,1,0,100,5.71,93.91,0.996,32,29,32,144,50,72,45,59,54.96
RyanPulock,NYI,5160000,5000000,NYI,D,8,144.3833333,119,159,42.81,92,114,44.66,69,79,46.62,5,4,55.56,6.06,5.76,51.3,63,82,43.45,26,22,54.17,3,3,50,37,60,38.14,1,1,50,50,72,40.98,1,0,100,7.25,94.94,1.022,14,37,23,97,37.84,37,53,50,42.53
TylerToffoli,MTL,5125000,4250000,MTL,R,12,140.8666667,134,114,54.03,93,84,52.54,64,62,50.79,3,6,33.33,5.75,4.05,58.69,69,59,53.91,28,23,54.9,2,4,33.33,41,36,53.25,0,1,0,57,40,58.76,1,1,50,4.69,90.32,0.95,28,32,15,123,65.12,48,47,38,55.81
KevinFiala,MIN,5100000,5100000,MIN,L,9,111.0166667,123,85,59.13,92,63,59.35,68,48,58.62,3,5,37.5,5.86,3.09,65.49,66,41,61.68,24,13,64.86,3,4,42.86,42,28,60,0,1,0,53,41,56.38,0,0,-,4.41,89.58,0.94,24,14,9,77,72.73,50,31,22,69.44
AlexDeBrincat,CHI,5100000,6400000,CHI,L,11,140.8833333,128,152,45.71,96,115,45.5,72,74,49.32,5,12,29.41,5.69,6.29,47.48,65,86,43.05,28,23,54.9,2,7,22.22,37,63,37,3,4,42.86,52,55,48.6,0,1,0,6.94,83.78,0.907,16,26,17,124,48.48,28,43,37,43.08
ChristianDvorak,MTL,5075000,4450000,MTL,L,12,169.4666667,149,162,47.91,102,125,44.93,79,96,45.14,6,12,33.33,6.43,7.18,47.23,81,87,48.21,29,31,48.33,2,7,22.22,52,56,48.15,3,4,42.86,53,62,46.09,1,1,50,7.59,87.5,0.951,29,41,33,121,46.77,51,61,65,43.97
DamonSeverson,NJD,5050000,4166666,N.J,D,7,105.8666667,90,100,47.37,73,73,50,55,44,55.56,2,5,28.57,4.83,3.73,56.43,51,49,51,25,13,65.79,2,2,50,26,36,41.94,0,2,0,33,49,40.24,0,1,0,3.64,88.64,0.923,14,25,22,71,38.89,32,31,47,40.51
AlexGoligoski,MIN,5000000,5000000,MIN,D,6,83.2,84,69,54.9,55,50,52.38,41,32,56.16,3,3,50,2.95,2.59,53.24,41,37,52.56,13,16,44.83,2,2,50,28,21,57.14,0,1,0,38,30,55.88,1,0,100,7.32,90.63,0.979,13,19,10,54,56.52,38,29,23,62.3
JustinSchultz,WSH,5000000,4000000,WSH,D,10,145.8833333,144,118,54.96,100,86,53.76,71,66,51.82,7,5,58.33,5.97,5.17,53.58,82,65,55.78,32,33,49.23,4,3,57.14,50,32,60.98,2,0,100,53,44,54.64,1,2,33.33,9.86,92.42,1.023,25,35,16,110,60.98,58,47,33,63.74
KylePalmieri,NYI,5000000,5000000,NYI,R,8,108.95,113,123,47.88,95,89,51.63,74,58,56.06,8,2,80,5.81,4.99,53.81,59,67,46.83,26,21,55.32,6,2,75,33,46,41.77,1,0,100,53,50,51.46,1,0,100,10.81,96.55,1.074,15,25,17,90,46.88,37,34,36,50.68
RyanStrome,NYR,5000000,4500000,NYR,C,6,75.66666667,69,67,50.74,50,51,49.5,31,36,46.27,3,4,42.86,2.59,2.48,51.08,33,35,48.53,7,11,38.89,0,1,0,26,24,52,3,3,50,33,25,56.9,0,0,-,9.68,88.89,0.986,16,14,8,52,66.67,29,21,22,56.86
TJBrodie,TOR,5000000,5000000,TOR,D,11,192.4833333,215,165,56.58,159,130,55.02,109,88,55.33,7,6,53.85,8.95,8.41,51.54,125,106,54.11,39,47,45.35,3,5,37.5,86,59,59.31,3,1,75,81,51,61.36,1,0,100,6.42,93.18,0.996,34,49,29,153,53.97,72,62,62,53.73
JonathanMarchessault,VEG,5000000,5000000,VGK,C,10,149.7666667,182,158,53.53,129,116,52.65,92,85,51.98,8,11,42.11,7.05,7.51,48.41,77,89,46.39,25,36,40.98,5,8,38.46,52,53,49.52,0,2,0,96,58,62.34,3,1,75,8.7,87.06,0.958,30,33,22,118,57.69,52,44,43,54.74
JaredSpurgeon,MIN,5000000,7575000,MIN,D,9,122.2333333,139,108,56.28,96,77,55.49,73,51,58.87,4,4,50,5.4,4.15,56.56,64,56,53.33,21,19,52.5,3,2,60,43,37,53.75,0,1,0,67,47,58.77,1,1,50,5.48,92.16,0.976,21,28,15,86,58.33,61,45,38,61.62
KirillKaprizov,MIN,5000000,9000000,MIN,L,9,127.6833333,152,119,56.09,108,87,55.38,81,65,55.48,5,7,41.67,5.71,4.11,58.14,68,54,55.74,21,20,51.22,2,4,33.33,47,34,58.02,2,0,100,73,58,55.73,1,3,25,6.17,89.23,0.954,29,24,10,84,74.36,49,40,32,60.49
MattiasEkholm,NSH,5000000,3750000,NSH,D,10,168.4666667,130,149,46.59,94,118,44.34,60,89,40.27,4,7,36.36,5.47,6.38,46.15,68,74,47.89,22,29,43.14,4,3,57.14,46,45,50.55,0,3,0,55,68,44.72,0,1,0,6.67,92.13,0.988,17,38,24,131,41.46,49,61,59,45.37
SamuelGirard,COL,5000000,5000000,COL,D,7,119.65,110,135,44.9,78,95,45.09,60,73,45.11,5,10,33.33,4.28,5.59,43.38,53,68,43.8,21,25,45.65,3,3,50,32,43,42.67,1,6,14.29,48,57,45.71,1,1,50,8.33,86.3,0.946,21,25,22,87,48.84,43,32,44,49.43
EsaLindell,DAL,5000000,5800000,DAL,D,10,173.5666667,132,147,47.31,103,106,49.28,85,77,52.47,4,3,57.14,4.96,5.13,49.14,70,68,50.72,25,20,55.56,1,1,50,45,48,48.39,2,1,66.67,57,66,46.34,1,1,50,4.71,96.1,1.008,26,35,33,121,44.07,45,51,64,41.28
MattDuchene,NSH,5000000,8000000,NSH,C,10,145.7666667,139,106,56.73,113,83,57.65,71,60,54.2,7,7,50,5.86,4.37,57.26,69,63,52.27,22,22,50,4,4,50,47,41,53.41,3,3,50,64,43,59.81,0,0,-,9.86,88.33,0.982,36,34,13,98,73.47,72,55,38,65.45
RyanNugent-Hopkins,EDM,5000000,5125000,EDM,C,9,121.2,91,116,43.96,61,87,41.22,41,64,39.05,6,2,75,3.55,4.07,46.56,42,58,42,18,20,47.37,3,1,75,24,38,38.71,2,1,66.67,40,49,44.94,1,0,100,14.63,96.88,1.115,16,22,22,76,42.11,33,28,39,45.83
NickSchmaltz,ARI,5000000,5850000,ARI,C,6,78.76666667,65,67,49.24,51,56,47.66,35,47,42.68,1,7,12.5,2.22,2.24,49.73,30,29,50.85,9,5,64.29,1,0,100,21,24,46.67,0,4,0,30,37,44.78,0,3,0,2.86,85.11,0.88,22,19,3,67,88,26,23,14,65
TylerSeguin,DAL,5000000,9850000,DAL,C,10,149.6166667,136,150,47.55,101,105,49.03,81,74,52.26,4,6,40,5.44,6.14,47,70,77,47.62,27,26,50.94,4,5,44.44,43,51,45.74,0,1,0,60,64,48.39,0,0,-,4.94,91.89,0.968,34,20,23,114,59.65,57,36,49,53.77
JoshBailey,NYI,5000000,5000000,NYI,R,8,104.7833333,71,146,32.72,56,105,34.78,44,75,36.97,3,7,30,4.11,6.17,40,40,73,35.4,15,31,32.61,2,6,25,25,42,37.31,0,1,0,26,68,27.66,1,0,100,6.82,90.67,0.975,19,16,12,78,61.29,35,26,24,59.32
JeffPetry,MTL,5000000,6250000,MTL,D,12,205.7833333,184,172,51.69,126,127,49.8,101,91,52.6,6,6,50,7.63,7.11,51.73,95,84,53.07,34,35,49.28,4,4,50,61,49,55.45,2,2,50,71,75,48.63,0,0,-,5.94,93.41,0.993,19,45,25,129,43.18,56,67,63,47.06
BrendanGallagher,MTL,5000000,6500000,MTL,R,11,132.3333333,135,128,51.33,95,93,50.53,74,68,52.11,6,4,60,5.64,5.24,51.84,70,66,51.47,28,29,49.12,3,4,42.86,42,37,53.16,2,0,100,55,51,51.89,1,0,100,8.11,94.12,1.022,25,24,22,116,53.19,45,32,43,51.14
NoahHanifin,CGY,4950000,4950000,CGY,D,9,148.85,160,130,55.17,120,104,53.57,93,76,55.03,8,3,72.73,6.53,5.59,53.88,80,57,58.39,23,25,47.92,1,1,50,57,32,64.04,5,1,83.33,68,64,51.52,2,1,66.67,8.6,96.05,1.047,21,34,23,109,47.73,46,51,45,50.55
JakeDeBrusk,BOS,4850000,3675000,BOS,L,8,101.5333333,81,74,52.26,64,58,52.46,49,39,55.68,2,2,50,3.64,2.41,60.12,45,26,63.38,14,8,63.64,1,1,50,31,18,63.27,1,0,100,31,42,42.47,0,1,0,4.08,94.87,0.99,15,23,13,72,53.57,25,35,29,46.3
