Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
John Brebbia\brebbjo01,29,66.0,57,0,25,3.41,4.83,0.24,-0.33,95.4,4.06,5,0.5,.81,-0.2,0.9,11,.509,.503,$569300,Rule 5 Draft
Genesis Cabrera*\cabrege01,22,14.2,6,2,11,6.75,4.59,0.33,-0.02,93.9,3.97,-4,-0.4,.13,0.1,-0.2,-3,.431,.497,,Traded
Junior Fernandez\fernaju01,22,6.1,6,0,2,2.84,4.51,0.21,-0.31,96.7,3.85,1,0.1,.42,0.0,0.1,1,.513,.500,,Amateur Free Agent
Jack Flaherty\flaheja01,23,160.1,28,28,58,3.26,4.79,0.25,0.21,96.1,4.57,24,2.6,,-0.1,3.9,39,.592,.516,$562100,Amateur Draft
Giovanny Gallegos\gallegi01,27,63.1,55,0,16,2.27,4.77,0.21,-0.33,96.4,4.08,13,1.3,1.08,-0.1,1.8,19,.524,.508,,Traded
John Gant\gantjo01,26,62.1,56,0,22,3.18,4.83,0.26,-0.33,95.8,4.06,7,0.7,1.41,0.0,1.2,12,.512,.504,$571300,Traded
Luke Gregerson\gregelu01,35,5.2,6,0,5,7.94,4.70,0.41,-0.32,98.8,3.92,-2,-0.2,.09,0.1,-0.1,-2,.460,.499,$5000000,Free Agency
Jedd Gyorko\gyorkje01,30,0.1,1,0,0,0.00,4.32,0.00,-0.30,92.0,3.70,0,0.0,.00,0.0,0.0,0,.514,.500,$13000000,Traded
Ryan Helsley\helslry01,24,27.2,15,0,7,2.28,4.68,0.26,-0.32,95.6,3.92,5,0.5,.45,-0.2,0.6,8,.536,.503,,Amateur Draft
Jordan Hicks (60-day IL)\hicksjo03,22,28.2,29,0,10,3.14,4.71,0.23,-0.32,96.7,4.02,3,0.3,1.35,0.0,0.6,6,.510,.502,$555000,Amateur Draft
Dakota Hudson\hudsoda02,24,153.2,29,28,73,4.28,4.71,0.30,0.20,95.5,4.41,3,0.3,7.37,-0.1,1.6,17,.511,.502,$559100,Amateur Draft
Dominic Leone\leonedo01,27,35.2,35,0,26,6.56,4.84,0.27,-0.33,96.7,4.10,-10,-0.9,.51,0.1,-0.5,-6,.473,.494,$1260000,Traded
Carlos Martinez\martica04,27,40.0,38,0,15,3.38,4.67,0.25,-0.32,95.8,3.93,3,0.3,1.68,0.0,0.6,6,.507,.502,$11700000,Free Agency
Mike Mayers\mayermi01,27,15.2,13,0,12,6.89,4.91,0.32,-0.34,95.5,4.07,-5,-0.5,.67,0.0,-0.3,-3,.464,.497,$563700,Amateur Draft
Adalberto Mejia*\mejiaad01,26,3.0,2,0,3,9.00,6.19,0.45,-0.42,87.2,4.63,-1,-0.1,.20,0.0,-0.1,-1,.432,.499,,Waivers
Miles Mikolas\mikolmi01,30,160.1,28,28,81,4.55,4.76,0.31,0.21,95.7,4.46,-1,-0.1,,-0.1,1.3,14,.498,.500,$8000000,Free Agency
Andrew Miller*\millean01,34,45.2,62,0,23,4.53,4.96,0.22,-0.34,96.0,4.22,-1,-0.1,1.66,-0.1,0.1,3,.498,.499,$11000000,Free Agency
Daniel Ponce de Leon\ponceda01,27,44.2,11,8,21,4.23,4.76,0.25,0.15,91.7,4.27,0,0.0,.47,0.0,0.4,4,.504,.500,,Amateur Draft
Alex Reyes (7-day IL)\reyesal02,24,3.0,4,0,5,15.00,4.69,0.33,-0.32,96.5,3.89,-4,-0.3,1.33,-0.1,-0.4,-3,.415,.498,$564600,Amateur Free Agent
Chasen Shreve*\shrevch01,28,2.0,3,0,2,9.00,4.64,0.29,-0.32,97.8,3.94,-1,-0.1,1.38,0.0,-0.1,-1,.464,.499,$900000,Traded
Michael Wacha\wachami01,27,112.0,25,20,66,5.30,4.78,0.30,0.15,95.7,4.42,-10,-1.0,1.01,-0.1,-0.1,0,.460,.494,$6350000,Amateur Draft
Adam Wainwright\wainwad01,37,142.1,26,26,70,4.43,4.76,0.29,0.21,96.5,4.52,2,0.2,,-0.1,1.4,15,.509,.501,$2000000,Free Agency
Tyler Webb*\webbty01,28,46.0,54,0,21,4.11,4.88,0.27,-0.33,96.0,4.10,0,0.0,.65,-0.1,0.3,4,.501,.500,,Waivers
Team Total,27.8,1239.1,589,140,574,4.17,4.78,0.27,0.00,95.8,4.31,28,3.1,1.08,-1.0,13.2,137,.505,.502,$63155100,
